Hotels,Prices,Total_Price,Ratings,Booking_Discounts(%),Reviews,Facilities,Address,Informations,City_Name
OYO 11915 Varcity Park,1158.0,4134.0,4.134042553191488,71.0,2254.0, Doctor on call ,"Near SV Hospitals, Madiwala, Bangalore",All staff vaccinated with 1st dose,Bangalore
OYO Townhouse 385 Navya International Ramamurthy Nagar,1402.0,5005.0,4.134042553191488,71.0,1903.0, Electric Kettle ,"Near Rammamurthynagar Police Station, Bangalore",All staff vaccinated with 1st dose,Bangalore
Capital O 12543 3 Square,1330.0,4751.0,4.134042553191488,72.0,1323.0, Elevator ,"Next to Cafe Coffee Day, HBR Layout, Bangalore",All staff vaccinated with 1st dose,Bangalore
OYO 15358 Hotel Townhall,974.0,3477.0,4.134042553191488,71.0,1460.0, Parking facility ,"Near Dhanlakshmi Bank, JC Road, Bangalore",All staff vaccinated with both doses,Bangalore
SPOT ON 65593 Yatra Inn,1088.0,3885.0,4.134042553191488,71.0,2723.0, Reception ,"Lalbagh, Bangalore",9 people booked this hotel today,Bangalore
OYO 62331 Gn Collection O,834.0,3695.0,4.134042553191488,77.0,680.0, Reception ,"Centrally Located, Near A D Halli Park, Housing Board, Bangalore",All staff vaccinated with 1st dose,Bangalore
Capital O 61292 Manyata Sterling,1131.0,4038.0,4.134042553191488,71.0,2994.0, Parking facility ,"Near Manyata Tech Park,Mesthri Palya, Bangalore",All staff vaccinated with 1st dose,Bangalore
Capital O 68975 The Blueberry's,949.0,3267.0,4.134042553191488,70.0,774.0, AC ,"7th Block, Bangalore",All staff vaccinated with 1st dose,Bangalore
OYO 91783 Manyata Stay-in,1210.0,4322.0,4.134042553191488,72.0,670.0, Reception ,"achenahalli, Thanisandra main road Bangalore India - 560077",10 people booked this hotel today,Bangalore
OYO Collection O 16107 N R Residency,1002.0,3577.0,4.4,71.0,673.0, Reception ,Opposite Satelite Bus Stand Bapujinagar Mysore Road Bangalore 560026,1k+ people booked this OYO in last 6 months,Bangalore
OYO Townhouse 238 Ulssor,2039.0,7282.0,4.134042553191488,72.0,1816.0, Doctor on call ,"Halasuru, Bangalore",All staff vaccinated with 1st dose,Bangalore
Capital O 36457 Boulevard Madiwala,1290.0,4607.0,4.1,72.0,2120.0, Private entrance ,"B t m Layout, Bangalore",All staff vaccinated with 1st dose,Bangalore
Capital O 14272 Manyata Royal Mac,848.0,3028.0,4.134042553191488,71.0,940.0, Hair Dryer ,"Behind Manyata Tech Park, Rechanahalli, Bangalore",1k+ people booked this OYO in last 6 months,Bangalore
Collection O 90316 Manyata Palace,759.0,2711.0,4.1,72.0,626.0, Parking facility ,"Near Manyata Tech Park Gate 4, Bangalore",1k+ people booked this OYO in last 6 months,Bangalore
Collection O 700570 Hotel 1089 Olive,781.0,2232.0,4.134042553191488,65.0,92.0, Elevator ,"Road, Bangalore",9 people booked this hotel today,Bangalore
Townhouse OAK Dreamland Suites ,1599.0,5711.0,4.0,72.0,1258.0, Reception ,"Chikkajala, Bangalore",6 people booked this hotel in last 6 hours,Bangalore
