Hotels,Prices,Total_Price,Ratings,Booking_Discounts(%),Reviews,Facilities,Address,Informations,City_Name
OYO Townhouse 665 Chahal Residency,696.0,3468.0,4.1707070707070715,79.0,271.0, Reception ,"Vasant Kunj Marg, Delhi",Erratic check-in experience,Delhi
OYO 702697 Hotel SK Tower,640.0,2285.0,4.1707070707070715,71.0,43.0, Free Wi-Fi ,"Rohini Extension, Delhi",22 people booked this hotel in last 6 hours,Delhi
Flagship 701563 The Sky Residency,556.0,1984.0,4.1707070707070715,71.0,560.0817717206132, Elevator ,"Param Puri, Delhi",8 people booked this hotel today,Delhi
Flagship 77174 Oyo Flagship Greenfield Colony ( Grey ),699.0,2651.0,4.0,73.0,443.0, Reception ,"Sector 43, Faridabad",All staff vaccinated with 1st dose,Delhi
OYO Townhouse 99 Rudra Inn,986.0,2561.0,4.1707070707070715,61.0,3378.0, Free Wi-Fi ,"Chattarpur Delhi, Delhi",All staff vaccinated with 1st dose,Delhi
OYO 702291 White Rose Guest House,599.0,2204.0,4.1707070707070715,72.0,560.0817717206132, Free Wi-Fi ,"Gzb, Ghaziabad",9 people booked this hotel today,Delhi
Townhouse 1142 Good Vibes Residency ,928.0,2947.0,4.4,68.0,67.0, Elevator ,"SBI Bank street, Delhi","Hurry, Only 1 room left!",Delhi
OYO 10020 Golf Stays,843.0,3009.0,4.1707070707070715,71.0,1800.0, Parking facility ,"Near Shiv Nadar School, DLF Phase 1, Gurgaon",All staff vaccinated with 1st dose,Delhi
OYO 89442 Hotel Airport Plaza By Palace,399.0,1683.0,4.1,76.0,153.0, Elevator ,K 33 Road No.2 mahipalpur block b  new delhi 110037,7 people booked this hotel in last 6 hours,Delhi
OYO 86190 Jindal Palace,832.0,2377.0,4.1707070707070715,65.0,150.0, AC ,"New Delhi, Delhi Transit",10 people booked this hotel today,Delhi
OYO 86137 Hotel Le Princess,591.0,2307.0,4.1707070707070715,74.0,454.0, Elevator ,"New Delhi, Delhi Transit",10 people booked this hotel in last 6 hours,Delhi
OYO Townhouse 1126 Super 8,868.0,3099.0,4.4,71.0,261.0, Elevator ,"Dwarka, Delhi",8 people booked this hotel today,Delhi
Collection O 302 Platinum Sqs Key,809.0,2889.0,4.1707070707070715,72.0,193.0, Free Wi-Fi ,"94 P BLOCK, SECTOR 41 part 1",8 people booked this hotel today,Delhi
OYO 10561 Hotel Sinon,524.0,1869.0,4.1707070707070715,71.0,502.0, Parking facility ,"Mahipalpur, Delhi Transit",9 people booked this hotel today,Delhi
OYO 421 One Hotel,860.0,3071.0,4.1707070707070715,72.0,2732.0, Elevator ,"Near One Mall, Nehar Road, Ghaziabad",All staff vaccinated with 1st dose,Delhi
OYO Townhouse 654 The Arrow,799.0,2284.0,4.1,65.0,1836.0, Reception ,"North Delhi, Delhi",7 people booked this hotel in last 6 hours,Delhi
Collection O 702962 Presidency Inn,860.0,3071.0,4.1707070707070715,72.0,560.0817717206132, Elevator ,"Dwarka Sector 9, Delhi",7 people booked this hotel in last 6 hours,Delhi
OYO Townhouse 429 South City 2 Sector 49 Gurgaon,1280.0,3658.0,4.1707070707070715,65.0,2171.0, Doctor on call ,"Village Ghasola, Gurgaon",All staff vaccinated with 1st dose,Delhi
OYO Flagship 701944 Dusky Hotel & Restaurant,606.0,2162.0,4.4,71.0,58.0, Elevator ,"Rohini, Delhi",,Delhi
OYO 92731 Welcome Lounge,678.0,1938.0,4.1707070707070715,65.0,39.0, Elevator ,"Near Artemis Hospital, Gurgaon","Hurry, Only 1 room left!",Delhi
OYO 73620 Hotel Livin Hub,622.0,2222.0,4.1707070707070715,72.0,5.0, Reception ,"Near Jindal Public School, Dabri, Delhi",,Delhi
OYO 44094 Grand Inn,905.0,3231.0,4.1,71.0,1034.0, Reception ,"Near Dabri More, Mahavir Enclave, Delhi",All staff vaccinated with 1st dose,Delhi
Collection O 77210 Executive Stays,645.0,1844.0,4.1707070707070715,65.0,10.0, Elevator ,"Near Icici Banknullnull, Delhi",All staff vaccinated with both doses,Delhi
OYO Flagship 702548 Ramji 7 Grand,516.0,1844.0,4.1707070707070715,72.0,560.0817717206132, Free Wi-Fi ,"NORTH WEST DELHI Delhi Delhi India110039, Delhi",,Delhi
OYO Flagship 702847 Prince Home Stay,462.0,1648.0,4.1707070707070715,71.0,560.0817717206132, Elevator ,"New Delhi-., Delhi",,Delhi
OYO Townhouse 654 The Arrow,799.0,2284.0,4.1,65.0,1836.0, Reception ,"North Delhi, Delhi",7 people booked this hotel in last 6 hours,Delhi
SPOT ON 68379 Hotel Harry's 1,424.0,1512.0,4.1707070707070715,71.0,788.0, Twin Single Bed ,"Khanpur Extension, Delhi",700+ people booked this OYO in last 6 months,Delhi
Flagship 701023 Raj Residency,706.0,2521.0,4.1707070707070715,72.0,22.0, Free Wi-Fi ,"Chhatarpur, Delhi",,Delhi
OYO 70899 Royal Galaxy,548.0,1955.0,4.1707070707070715,71.0,1233.0, Parking facility ,"Near MP Tanwar Singh Office, Chattarpur Enclave, Delhi",All staff vaccinated with 1st dose,Delhi
OYO Flagship 702887 Rk Home Stay,541.0,1932.0,4.1707070707070715,72.0,560.0817717206132, Geyser ,"kakrola road, Delhi",,Delhi
Flagship 93407 Hotel Bell Wood,465.0,1659.0,4.1707070707070715,71.0,60.0, Parking facility ,Near IPH hospital  Mahipalpur,6 people booked this hotel in last 6 hours,Delhi
OYO 91776 Hotel Kl Khari Inn,599.0,1989.0,4.3,69.0,624.0, Reception ,"North West Delhi, Delhi",8 people booked this hotel today,Delhi
Capital O 70301 Rohil Residency,504.0,1798.0,4.1707070707070715,71.0,1468.0, Parking facility ,"Near rithala metro station, Pehladpur Bangar, Delhi",6 people booked this hotel in last 6 hours,Delhi
OYO 28461 Royal Stay Inn,699.0,2609.0,4.1707070707070715,73.0,546.0, Parking facility ,"Near Hdfc Bank Sant Nagar, Sant Nagar, Delhi","Hurry, Only 1 room left!",Delhi
Collection O 89092 Hotel Lotus,842.0,2405.0,4.1707070707070715,64.0,640.0, Parking facility ,"Near Nexa Showroom Sector 9 Dwarka,Delhi",1k+ people booked this OYO in last 6 months,Delhi
OYO 46441 1 Plus One Hotel Residency,570.0,2537.0,4.1707070707070715,77.0,346.0, Parking facility ,"Matiala Extension, Sukh Ram Park, Matiala, Delhi","Hurry, Only 1 room left!",Delhi
Collection O 75908 Garg Trade Centre Sector 11,524.0,1497.0,4.1707070707070715,65.0,797.0, Parking facility ,"Near Garg Trade Centre Anusha Tower , Sector 16, Delhi",Erratic check-in experience,Delhi
OYO Townhouse 816 The White Grace,693.0,4004.0,4.1707070707070715,82.0,25.0, Reception ,"North Delhi, Delhi",,Delhi
OYO 74527 Prime Residency,680.0,2428.0,4.1707070707070715,71.0,273.0, Reception ,"Near Maidan Garhi, Chattarpur, Delhi",All staff vaccinated with 1st dose,Delhi
Flagship 92975 Hotel Small Town,553.0,1581.0,4.0,65.0,27.0, Elevator ,"Palam Colony Raj Nagar Part 2, Delhi",,Delhi
OYO Flagship 701944 Dusky Hotel & Restaurant,606.0,2162.0,4.4,71.0,58.0, Elevator ,"Rohini, Delhi",,Delhi
OYO 67980 Villa Florence,699.0,3111.0,4.1,77.0,83.0, Hair Dryer ,"Street Number 9, Block D, West Vinod Nagar, Delhi, India - 110092",,Delhi
OYO 62660 Hotel Park View,534.0,2384.0,4.1707070707070715,77.0,1511.0, Hair Dryer ,"Near Adarsh nagar, Matmy Memar, Delhi","Hurry, Only 1 room left!",Delhi
OYO 24947 Hotel Metro Tower,796.0,2844.0,4.1707070707070715,72.0,7.0, Reception ,"Mata Chowk, New Delhi, Delhi ",,Delhi
Flagship 75893 Hotel Maharaja Gold,699.0,2498.0,4.1707070707070715,72.0,891.0, Reception ,"Near Ramphal chowk, Sector 7 Dwarka, Delhi",13 people booked this hotel today,Delhi
OYO 69698 Shalimar Residency,699.0,2576.0,4.1707070707070715,72.0,135.0, Parking facility ,"Near Jahangir Puri Metro Station, Delhi",Erratic check-in experience,Delhi
OYO 70893 Kl Khari Inn,705.0,2517.0,4.1707070707070715,71.0,1520.0, Parking facility ,"Near Ashok Park Main, Rampura Marg, Delhi",Erratic check-in experience,Delhi
OYO Flagship 702842 Shanti Stays,516.0,1844.0,4.1707070707070715,72.0,560.0817717206132, Elevator ,"Chattarpur Delhi Delhi India , Delhi",,Delhi
OYO 77353 Tom & Jerry,696.0,2487.0,4.1707070707070715,72.0,574.0, Reception ,"South East Delhi, Delhi",All staff vaccinated with 1st dose,Delhi
Flagship 82953 Royal Mini Guest House,644.0,1841.0,4.1707070707070715,65.0,82.0, Reception ,"8/2 9/1 Sai Baba Enclave, Delhi",,Delhi
OYO Home 77732 Khanpur Stay,519.0,1852.0,4.1707070707070715,71.0,964.0, AC ,"South Delhi, Delhi",All staff vaccinated with 1st dose,Delhi
OYO Townhouse 665 Chahal Residency,696.0,3468.0,4.1707070707070715,79.0,271.0, Reception ,"Vasant Kunj Marg, Delhi",Erratic check-in experience,Delhi
Flagship 700363 Hotel Small Town,599.0,1675.0,4.0,64.0,86.0, AC ,WZ-A17/183 Near Nawada And Dwarka mor Metro Pillar no 755-756,9 people booked this hotel in last 6 hours,Delhi
Collection O 702455 Jps Aerocity,516.0,1844.0,4.1,72.0,11.0, Elevator ,"Sector 23, Delhi",,Delhi
Flagship 700452 Hotel Moonshine,781.0,2232.0,4.1707070707070715,65.0,17.0, Free Wi-Fi ,"Sarita Vihar, Delhi",,Delhi
OYO Home 84347 The Dreams,516.0,1841.0,4.1707070707070715,71.0,56.0, Free Wi-Fi ,M 61 Shyam Park ( Bharti flex Board ). Janyug School.  Nawada Near Metro Station,,Delhi
Flagship 700299 Bd Palace,957.0,2734.0,4.4,65.0,55.0, Parking facility ,"Dwarka Sector 9, Delhi","Hurry, Only 1 room left!",Delhi
