Hotels,Prices,Total_Price,Ratings,Booking_Discounts(%),Reviews,Facilities,Address,Informations,City_Name
OYO Townhouse 973 Jalsa Resort,832.0,3493.0,4.3,76.0,818.0, Parking facility ,"Near Khurdahi Bazar, Sultanpur Road, Lucknow",6 people booked this hotel in last 6 hours,Lucknow
OYO Townhouse 1094 North Inn,603.0,2154.0,4.187999999999998,72.0,851.0, Parking facility ,"Faizabad Road, Lucknow",16 people booked this hotel in last 6 hours,Lucknow
OYO Flagship 77242 Radhey Krishna Bhawan,499.0,2664.0,4.0,81.0,914.0, Hair Dryer ,"Saraswati puram near convention center Raebareli road SGPI, Lucknow",All staff vaccinated with 1st dose,Lucknow
Townhouse OAK Geetraj By Insight Services,1448.0,5169.0,4.187999999999998,71.0,2353.0, Hair Dryer ,"Alambagh, Lucknow",All staff vaccinated with 1st dose,Lucknow
OYO HOME 702340 Hotel Palassio Inn,617.0,2204.0,4.187999999999998,72.0,656.7897727272727, Elevator ,"Krishna Nagar Lucknow, Lucknow",,Lucknow
OYO Townhouse 199 Singapore Mall,1417.0,5059.0,4.187999999999998,71.0,2249.0, Private entrance ,"Near Sahara Hospital, Viraj Khand, Lucknow",All staff vaccinated with 1st dose,Lucknow
OYO Flagship 701923 Hotel Victory,651.0,2325.0,4.187999999999998,72.0,23.0, AC ,opposite FI hospital near burlington crossing Lucknow,,Lucknow
Flagship 701144 Vaibhav Inn,638.0,2279.0,4.3,72.0,46.0, Free Wi-Fi ,"64 A Him City Khachapur Matiyari Chinnhat Lucknow, Lucknow",,Lucknow
OYO Townhouse 311 Prithvi Resort,1312.0,3748.0,4.2,64.0,2380.0, Private entrance ,"Near Ekana Stadium, Gomtinagar Ext., Lucknow",All staff vaccinated with 1st dose,Lucknow
OYO 68040 Hotel Aastha,899.0,2319.0,4.3,61.0,1257.0, Reception ,"Near Transport Nagar Metro Station, Labour Chowk, Lucknow","Hurry, Only 1 room left!",Lucknow
OYO Townhouse 913 Ekana Grand,1053.0,3009.0,4.3,65.0,1879.0, Reception ,"Gomti Nagar Extension Near Ekana Cricket Stadium, Lucknow",17 people booked this hotel today,Lucknow
SPOT ON 66997 Jc Guest House,824.0,2280.0,4.187999999999998,63.0,2999.0, Parking facility ,"Nirala Nagar Infront The Regnant Hotel Near Ram Krishna Matt, Lucknow",All staff vaccinated with 1st dose,Lucknow
Flagship 75575 Krishna Regency,684.0,1954.0,4.187999999999998,64.0,977.0, Private entrance ,"Near PGI Bijnaur, Lucknow.",All staff vaccinated with 1st dose,Lucknow
OYO Flagship 701822 Park Lake View,678.0,2419.0,4.187999999999998,71.0,656.7897727272727, Free Wi-Fi ,"Vikalp khand, Lucknow",,Lucknow
Capital O 76578 Aviraj Inn,822.0,2937.0,4.3,72.0,1437.0, Parking facility ,"Ganeshpur Rahmanpur, Lucknow",All staff vaccinated with 1st dose,Lucknow
Townhouse 1150 Hotel Dayal Palace,1173.0,4188.0,4.2,71.0,32.0, Free Wi-Fi ,"Near BBD College Faizabad Road Lucknow Uttar Pradesh , Lucknow",,Lucknow
Collection O 67986 Pratik Inn,639.0,1805.0,4.187999999999998,64.0,782.0, Private entrance ,"Kathauta Chauraha,  1/187 Vinamra Khand, Gomti Nagar , Lucknow",7 people booked this hotel in last 6 hours,Lucknow
Collection O 701724 Shivanya Hotel,616.0,2201.0,4.187999999999998,72.0,13.0, Elevator ,"Ashraf Vihar Colony Lucknow Uttar Pradesh India , Lucknow",,Lucknow
