Hotels,Prices,Total_Price,Ratings,Booking_Discounts(%),Reviews,Facilities,Address,Informations,City_Name
Townhouse OAK Hotel Belsons Taj Mahal,1793.0,6404.0,4.1768115942028965,72.0,189.0, Doctor on call ,"Near Swapnalok Complex, Patny Centre, Hyderabad",10 people booked this hotel in last 6 hours,Hyderabad
Capital O 86948 Hotel Sai Balaji,1040.0,2972.0,4.2,65.0,987.0, Reception ,"Rajendra Nagar Suncity Hyderabad, Hyderabad",1k+ people booked this OYO in last 6 months,Hyderabad
Flagship 76655 Goldhorn Hotels Mehdipatnam,1595.0,5697.0,4.1,72.0,1915.0, Living Room ,"Mehdipatnam, Hyderabad",8 people booked this hotel in last 6 hours,Hyderabad
OYO 70857 Dream Suites,1474.0,5264.0,4.1768115942028965,72.0,1414.0, Reception ,"Near kphb metro station, Kukatpally, Hyderabad",All staff vaccinated with 1st dose,Hyderabad
Capital O 700516 S V Residency Nalagandla,732.0,2614.0,4.1768115942028965,72.0,73.0, Doctor on call ,"Nalagandla, Hyderabad",7 people booked this hotel in last 6 hours,Hyderabad
Flagship 61858 Hotel Banyan Tree,1131.0,4038.0,4.1768115942028965,71.0,3465.0, Parking facility ,"Centrally Located, Near Huda Park, Kukatpally, Hyderabad",8 people booked this hotel in last 6 hours,Hyderabad
Capital O 9003 Halcyon Deccan Inn,1374.0,4905.0,4.1768115942028965,71.0,1401.0, Parking facility ,"Madhapur, Hyderabad",All staff vaccinated with 1st dose,Hyderabad
Flagship 69483 Hotel Dsr Residency,845.0,3018.0,4.3,72.0,2505.0, Parking facility ,"flot number 660 KPHB 9th phase kukatpally Hyderabad land mark china bazar, Hyderabad",All staff vaccinated with 1st dose,Hyderabad
Flagship 76333 Relax Grand,1005.0,3589.0,4.1768115942028965,72.0,851.0, Reception ,"Secunderabad Mandal, Hyderabad","Hurry, Only 1 room left!",Hyderabad
OYO Townhouse 777 - A3 empire,2226.0,7949.0,4.2,72.0,1979.0, Parking facility ,"Gachibowli, Hyderabad",All staff vaccinated with 1st dose,Hyderabad
Flagship 83247 Hillside Hotels Dlf Gachibowli,1368.0,3909.0,4.1,65.0,1224.0, Reception ,"Rangareddy, Hyderabad",2k+ people booked this OYO in last 6 months,Hyderabad
OYO 17168 Hz Lodge,832.0,2969.0,4.1768115942028965,71.0,76.0, Elevator ,"Near Julu Khana Parking, Charminar, Hyderabad",All staff vaccinated with 1st dose,Hyderabad
Collection O 89619 Hotel Rrr Inn,1186.0,4237.0,4.4,72.0,1203.0, Reception ,"Rangareddy, Hyderabad",28 people booked this hotel in last 6 hours,Hyderabad
"Flagship 75871 , Gachibowli ,jv Colony",1356.0,4842.0,4.3,72.0,2822.0, Private entrance ,"Gachibowli, Hyderabad",All staff vaccinated with 1st dose,Hyderabad
OYO 92853 Rk Grand,1008.0,3598.0,4.1768115942028965,71.0,469.0, Reception ,"Rangareddy, Hyderabad",6 people booked this hotel in last 6 hours,Hyderabad
SPOT ON 70822 Pnd Complex,899.0,4562.0,4.1768115942028965,80.0,635.0, Hair Dryer ,"India, Hyderabad",All staff vaccinated with 1st dose,Hyderabad
OYO 9405 Hotel Stay Home,1880.0,6714.0,4.1768115942028965,72.0,2564.0, Elevator ,"Gachibowli, Hyderabad",10 people booked this hotel in last 6 hours,Hyderabad
