Hotels,Prices,Total_Price,Ratings,Booking_Discounts(%),Reviews,Facilities,Address,Informations,City_Name
OYO 11368 Dk Inn,1600.0,5714.0,4.1474576271186425,72.0,1767.0, Elevator ,"Near Deshapriya Park, Kalighat, Kolkata",All staff vaccinated with 1st dose,Kolkata
Townhouse Oak Hotel Lake View Royal ,1133.0,4045.0,4.2,71.0,166.0, Reception ,"East Topsia Road, Kolkata",14 people booked this hotel in last 6 hours,Kolkata
Flagship 701196 Sonar Bangla Guest House,599.0,2261.0,4.1474576271186425,73.0,158.0, Free Wi-Fi ,"Near Gst Bhawan, Kolkata","Hurry, Only 1 room left!",Kolkata
Capital O 700752 Hotel Dak Plaza,634.0,2262.0,4.1474576271186425,71.0,318.0, Reception ,"Near Axis Mall, CE Block, Newtown, Kolkata 700156",6 people booked this hotel in last 6 hours,Kolkata
Flagship 700875 Shyamali Guest House,625.0,2232.0,4.1474576271186425,72.0,53.0, Elevator ,"72/1, Jessore road, Kolkata 700124",,Kolkata
Collection O 8972 Raj Guest House,1215.0,4339.0,4.0,72.0,802.0, Elevator ,"Kolkata International Airport  Gate no 2, Beside Phoenix Hospital & Diagnostics  11 Nirmal Sengupta Sarani Kolkata West Bengal",1k+ people booked this OYO in last 6 months,Kolkata
OYO Townhouse 229 Hotel Mannat International,823.0,2938.0,4.1474576271186425,71.0,6182.0, Hair Dryer ,"Near Bypass Connector, Kolkata",All staff vaccinated with 1st dose,Kolkata
OYO Flagship 702466 Seema International,680.0,2428.0,4.1474576271186425,71.0,787.530612244898, Elevator ,"West Bengal, Kolkata",,Kolkata
Collection O 84432 Shraddha Residency,666.0,2751.0,4.3,75.0,431.0, Reception ,NEW TOWN ACTION AREA 2 DLF 2 NEAR CHITRAKUT HEIGHTS LASKARAIT BAZAR ROAD  CANAL BANK ROAD SHAPOORJI BUS STAND,"Hurry, Only 1 room left!",Kolkata
Capital O 85376 Kabita Guest House,771.0,2202.0,4.1474576271186425,64.0,650.0, AC ,Mukundapur Main Road Seven Maddox Square Multi cuisine Restaurant Kolkata EM Bye Pass Opposite Dr. Devi Shetty Hospital,10 people booked this hotel in last 6 hours,Kolkata
OYO Flagship 702367 Downtown Inn,740.0,2642.0,4.0,71.0,12.0, Elevator ,"Kolkata - , Kolkata",,Kolkata
OYO Flagship 702495 Transit Express,615.0,2195.0,4.2,71.0,32.0, Elevator ,"KOLKATA 700099 BESIDE YAMAHA SHOWROOM., Kolkata",8 people booked this hotel in last 6 hours,Kolkata
Flagship 701308 Amar Raj Stay,633.0,2261.0,4.1474576271186425,72.0,21.0, Elevator ,"Aa Iid, Kolkata",8 people booked this hotel today,Kolkata
Flagship 700929 The Golden Key,625.0,2232.0,4.1474576271186425,72.0,15.0, Elevator ,"STREET NO 568 BLOCK AA - 2B AKANKHA MORE, NEW TOWN KOLKATA - 700135 NAER HP PETROL PUMP",,Kolkata
OYO 8812 White Palace Hotel & Resort New Alipore,599.0,2021.0,4.1474576271186425,70.0,426.0, Parking facility ,"Opposite New Alipore Residency,  Near New Alipore Petrol Pump",All staff vaccinated with 1st dose,Kolkata
Flagship 701182 The Nest Inn,656.0,2344.0,4.1474576271186425,72.0,48.0, Free Wi-Fi ,"Near Raj Market, Kolkata","Hurry, Only 1 room left!",Kolkata
OYO 82221 Hotel Regency,1561.0,4461.0,4.1474576271186425,65.0,950.0, AC ,", Kolkata",1k+ people booked this OYO in last 6 months,Kolkata
OYO 702008 Avenue Inn,1514.0,5405.0,4.1,71.0,92.0, Doctor on call ,"Kolkata, Kolkata",,Kolkata
Capital O 19964 Aspiring Inn,512.0,3094.0,4.1474576271186425,83.0,553.0, Free Wi-Fi ,"Nayabad, Kolkata",All staff vaccinated with 1st dose,Kolkata
Townhouse OAK 92847 Hotel Glorious Palace,1800.0,6427.0,4.1,71.0,122.0, Reception ,"Near Topsia More, beside Roshan Garden & Orchid Banquet, Science City area, Kolkata",,Kolkata
OYO 91743 Hotel Ariya International,599.0,1869.0,4.1,67.0,36.0, Hair Dryer ,DPS Megacity beside Indian Oil petrol pump New Town Rajarhat ,,Kolkata
Flagship 84509 Hotel Shree,400.0,1428.0,4.1474576271186425,71.0,284.0, AC ,Akankha More NKDA Community Hall Street no 632 Plot No 3209 New Town Action Area 2C,,Kolkata
OYO 92262 Ankan Regency,663.0,1894.0,4.1,64.0,169.0, Reception ,"595, Rajdanga main road, Near KMDA office Kolkata, 700107",,Kolkata
OYO Townhouse 696 Hotel Mayfair Tower,668.0,2658.0,4.1474576271186425,74.0,1435.0, AC ,"Hussainpur, Kolkata",1k+ people booked this OYO in last 6 months,Kolkata
Flagship 84655 S S Guest House,646.0,2597.0,4.0,75.0,49.0, Reception ,"North 24 Parganas, Kolkata",,Kolkata
Flagship 78811 Royal Palace,1241.0,3547.0,4.4,65.0,2031.0, Reception ,"Near Acropolis Mall, Purba Abasan, Kolkata",All staff vaccinated with 1st dose,Kolkata
Flagship 74169 Mourigram Near Andul Rd,685.0,2797.0,4.1474576271186425,75.0,5590.0, Reception ,"Howrah, Kolkata",22 people booked this hotel in last 6 hours,Kolkata
